loc_str,Long,Lat
"Marconi Beach, Wellfleet, Barnstable County Massachusetts USA",41.8917724,-69.9698854
"Sea Pines Resort, Hilton Head Island, Beaufort County South Carolina USA",32.1547781,-80.7701433
"Menauhant Beach, Falmouth,Barnstable County Massachusetts USA",41.5493008,-70.5644792
"Between Pescadero Point & Bean Hollow Beach, San Mateo County California USA",37.2304751,-122.4208582
"Hilton Head Island, Beaufort County South Carolina USA",32.1834116,-80.8874831
"DeBordieu Colony, Georgetown County South Carolina USA",33.3690557,-79.1604659
Ventnor New Jersey USA,39.3406926,-74.5000456
"Snipes Point, Monroe County Florida USA",24.6981968,-81.6827332
"Stearns Wharf, Santa Barbara California USA",34.4099807,-119.6877743
"Seal Rock, Goleta Beach, Santa Barbara California USA",34.4168342,-119.8343986
"South Beach, Westport, Grays Harbor County Washington USA",46.887933,-124.1139258
"Santa Cruz, Santa Cruz County California USA",36.9758863,-122.0824996
"Haulover Beach, Miami-Dade County Florida USA",25.9065987,-80.1266303
"Point Casuarina, Bunbury Western Australia AUSTRALIA",-33.3192207,115.6310993
"Flinders, Mornington Penisula Victoria AUSTRALIA",-38.4564781,144.9048431
Bantham Beach South Devon UNITED KINGDOM,50.2783167,-3.8807776
Athol Island New Providence  BAHAMAS,25.0754625,-77.2795594
"Awendaw, Charleston County South Carolina USA",32.984254,-79.7258391
"Keurbooms Lagoon, Plettenberg Bay Western Cape Province SOUTH AFRICA",-29.1147115,153.3901904
Trigg Beach Western Australia AUSTRALIA,-31.8781967,115.7497601
Booti Booti National Park New South Wales AUSTRALIA,-32.3172803,152.5049098
Queenscliff Victoria AUSTRALIA,-38.266252,144.6317212
"Kamaole Beach Park I, Maui Hawaii USA",20.7175212,-156.4513881
Mayport Naval Station  Duval County Florida USA,30.391306,-81.425925
Broken Head Beach New South Wales AUSTRALIA,-28.7012866,153.6104942
"Hooipa Beach Park, Maui Hawaii USA",20.9331081,-156.3673507
"Kings Beach, Caloundra Queensland AUSTRALIA",-26.8020656,153.1392415
"Charlie Young Beach, Kihei, Maui Hawaii USA",20.724569,-156.4578171
"Sharpes Beach, Ballina New South Wales AUSTRALIA",-28.8372212,153.6007354
"Indian Beach, Ecola State Park, Clatsop County Oregon USA",45.9273111,-123.9746746
Maui Hawaii USA,20.8027683,-156.6181848
Arenales del Sol Alicante Province SPAIN,38.364311,-0.9904448
Near Albany Western Australia AUSTRALIA,-35.0280667,117.8754271
"Florida Keys, Monroe County Florida USA",24.6613206,-82.7464359
Clifton Beach Tasmania AUSTRALIA,-42.980974,147.4933628
Green Turtle Cay Abaco Islands BAHAMAS,26.7742236,-77.3610027
Cortes Bank California USA,32.4666659,-119.1754215
Playa Grande Guanacaste COSTA RICA,10.3234471,-85.8634116
"Edisto Beach, Colleton County South Carolina USA",32.4917318,-80.3386686
Kaukura Atoll Tuamotus FRENCH POLYNESIA,-15.7439439,-146.823734
"Topanga Beach, Los Angeles County California USA",34.0923411,-118.6783047
Streaky Bay South Australia AUSTRALIA,-32.8323669,134.1275897
"Maha‰Û¡ÌÝÌáulepu Beach, Kauai Hawaii USA",21.8924993,-159.4256992
"Ballston Beach, Truro, Cape Cod Massachusetts USA",42.0006582,-70.0290558
"Tofino, Vancouver British Colombia CANADA",49.1289787,-125.9213325
Off Wedge Island Western Australia AUSTRALIA,-30.8285997,115.1879275
"Bethune Beach, Volusia County Florida USA",28.9491531,-80.8465848
Maroubra New South Wales AUSTRALIA,-33.9454214,151.2287338
Seaside Cove Oregon USA,45.9773019,-123.9414339
Bushy Ilet Queensland AUSTRALIA,-20.9539896,150.0700898
Broken Head New South Wales AUSTRALIA,-28.7300971,153.5569738
"Garden Point, Woolloomooloo Sydney Harbour New South Wales AUSTRALIA",-33.8588913,151.2206783
Quebradillas Puerto Rico USA,18.4286544,-67.0037731
Cellito Beach New South Wales AUSTRALIA,-32.3789104,152.5272703
Sandon New South Wales AUSTRALIA,-29.6867687,153.2947081
