,gmtoffset,lat,long,tz,tz_abb
114,-18000,30.240005800000002,-81.3852595,America/New_York,EST
115,-18000,25.0479835,-77.355413,America/Nassau,EST
116,-36000,20.7983626,-156.3319253,Pacific/Honolulu,HST
117,28800,-35.027529799999996,117.883959,Australia/Perth,AWST
118,-18000,25.027335600000004,-81.5357506,America/Kentucky/Monticello,EST
119,32400,33.0213083,133.01475559999997,Asia/Tokyo,JST
120,39600,-42.989444,147.52166699999998,Australia/Hobart,AEDT
121,-18000,26.774710700000004,-77.3295708,America/Nassau,EST
122,36000,-28.1622578,153.4566241,Australia/Brisbane,AEST
123,-21600,30.793050800000003,-88.1315704,America/Chicago,CST
124,-28800,33.728714000000004,-118.08402120000001,America/Los_Angeles,PST
125,-18000,33.8160058,-78.68001600000001,America/New_York,EST
126,-28800,36.9752283,-121.95329299999999,America/Los_Angeles,PST
127,-18000,42.614076000000004,-70.66278100000001,America/New_York,EST
128,-28800,33.768384399999995,-118.3492165,America/Los_Angeles,PST
129,36000,-16.74405,145.67095,Australia/Brisbane,AEST
130,-18000,32.763232300000006,-79.8367511,America/New_York,EST
131,-18000,34.708856299999994,-76.7377872,America/New_York,EST
132,7200,-34.1913578,24.713601500000003,Africa/Johannesburg,SAST
133,-18000,28.1673007,-80.58775969999998,America/New_York,EST
134,-36000,21.9605229,-159.3501759,Pacific/Honolulu,HST
135,28800,-23.144722,113.776389,Australia/Perth,AWST
136,-21600,29.2047732,-94.9365782,America/Chicago,CST
137,-18000,29.474975399999995,-81.1270035,America/New_York,EST
138,28800,-31.688000000000002,115.70700000000001,Australia/Perth,AWST
139,7200,29.632561699999997,32.330017100000006,Africa/Cairo,EET
140,39600,-28.264593800000004,153.5776602,Australia/Sydney,AEDT
141,28800,-32.5933864,115.6364088,Australia/Perth,AWST
142,-28800,33.5978595,-117.8730142,America/Los_Angeles,PST
143,-18000,30.311908000000003,-81.39647339999998,America/New_York,EST
144,-18000,27.751828399999997,-82.6267345,America/New_York,EST
145,-18000,30.411008799999998,-81.4204882,America/New_York,EST
146,-18000,26.3683064,-80.1289321,America/New_York,EST
147,-36000,20.682848,-156.4429602,Pacific/Honolulu,HST
148,7200,-34.07614,23.37059,Africa/Johannesburg,SAST
149,39600,-28.6410983,153.611705,Australia/Sydney,AEDT
150,-36000,-16.5395622,-143.8671868,Pacific/Tahiti,-10
151,-18000,26.7850625,-80.03754080000002,America/New_York,EST
152,39600,-21.6098415,165.3907613,Pacific/Noumea,+11
153,-18000,26.7077343,-80.1125957,America/New_York,EST
154,-36000,20.8147221,-156.625,Pacific/Honolulu,HST
155,39600,-34.656041200000004,150.8556659,Australia/Sydney,AEDT
156,-18000,26.452024800000004,-81.948145,America/New_York,EST
157,39600,-34.0496066,151.1572211,Australia/Sydney,AEDT
158,-28800,33.695569799999994,-118.0487973,America/Los_Angeles,PST
159,-18000,27.646150199999997,-80.40011919999998,America/New_York,EST
160,37800,-37.033055600000004,139.7411111,Australia/Adelaide,ACDT
161,39600,-22.31259,166.4541395,Pacific/Noumea,+11
162,39600,-22.1254459,166.77981719999997,Pacific/Noumea,+11
163,-14400,18.6654185,-68.3959708,America/Santo_Domingo,AST
164,-18000,19.3221698,-81.2408689,America/Cayman,EST
165,39600,-40.93,144.62,Australia/Hobart,AEDT
166,36000,-27.5323174,153.46260769999998,Australia/Brisbane,AEST
167,39600,-35.1114318,150.6947475,Australia/Sydney,AEDT
168,-36000,22.2090776,-159.5067583,Pacific/Honolulu,HST
169,-21600,29.303383,-94.78946850000001,America/Chicago,CST
170,36000,-26.8071839,153.13424890000002,Australia/Brisbane,AEST
171,36000,-23.442297600000003,151.9148004,Australia/Brisbane,AEST
172,36000,-23.0732776,150.89508600000002,Australia/Lindeman,AEST
173,7200,-29.591209600000003,31.171349499999998,Africa/Johannesburg,SAST
174,0,27.858225,-15.394737,Atlantic/Canary,WET
175,-36000,19.5943328,-155.9718466,Pacific/Honolulu,HST
176,39600,-33.891020000000005,151.277726,Australia/Sydney,AEDT
177,-7200,-3.8447976,-32.4268917,America/Noronha,-02
178,39600,-33.0539197,151.6432586,Australia/Sydney,AEDT
179,7200,-33.840746,25.534952,Africa/Johannesburg,SAST
180,-21600,-0.8292374,-91.135302,Pacific/Galapagos,-06
181,-18000,28.655517699999997,-80.6318287,America/New_York,EST
182,-18000,26.7056206,-80.0364297,America/New_York,EST
183,39600,-28.8537305,153.5865127,Australia/Sydney,AEDT
184,-18000,28.123540600000002,-80.5778693,America/New_York,EST
185,-36000,19.3946577,-154.9290878,Pacific/Honolulu,HST
186,-18000,28.320006699999997,-80.6075513,America/New_York,EST
187,7200,-23.861130199999998,35.341138799999996,Africa/Maputo,CAT
188,28800,-34.9233188,118.46887759999998,Australia/Perth,AWST
189,7200,-34.364219399999996,21.4335508,Africa/Johannesburg,SAST
190,-18000,26.318412300000002,-80.09976569999998,America/New_York,EST
191,-36000,21.285002,-157.835698,Pacific/Honolulu,HST
192,-36000,21.3930533,-157.715435,Pacific/Honolulu,HST
193,-28800,35.583850700000006,-121.12141969999999,America/Los_Angeles,PST
194,-18000,32.153740899999995,-80.7301358,America/New_York,EST
195,-36000,21.628128,-158.07353799999999,Pacific/Honolulu,HST
196,28800,-32.603604100000005,115.6304031,Australia/Perth,AWST
197,-18000,27.498763,-80.3016525,America/New_York,EST
198,-21600,29.3013479,-94.7976958,America/Chicago,CST
199,-18000,29.9385794,-81.30201729999999,America/New_York,EST
200,36000,-17.2291545,146.09400219999998,Australia/Brisbane,AEST
201,-36000,20.2689664,-155.8545221,Pacific/Honolulu,HST
202,-18000,30.669681800000003,-81.46259189999998,America/New_York,EST
203,-18000,30.483055600000004,-81.44,America/New_York,EST
204,-18000,30.284122399999998,-81.3961338,America/New_York,EST
205,39600,-33.3699595,151.4858695,Australia/Sydney,AEDT
206,-28800,34.040360799999995,-118.8921386,America/Los_Angeles,PST
